ResponseID,list,msg,typos,gram_err,friends,similar,consci,less intell,intell,sophis,friendly,considerate,housemate,likeable,trust,flowed,education,age,reads,Ecommunication,Grammar,Bothered,Noticed,Extraver,Agree,Consci,Neur,Open,Scale
R_01j4fe2oeWjE27H,2,Adrian,3,0,3,1,3,4,4,4,5,5,4,5,5,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.909090909
R_01j4fe2oeWjE27H,2,Alex,3,0,2,1,2,4,4,4,3,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.272727273
R_01j4fe2oeWjE27H,2,Blair,0,3,2,1,4,4,4,4,6,3,3,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.545454545
R_01j4fe2oeWjE27H,2,C.J.,0,4,1,1,2,4,4,4,4,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.272727273
R_01j4fe2oeWjE27H,2,Cameron,0,2,6,5,5,4,4,4,5,4,5,5,5,5,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,4.818181818
R_01j4fe2oeWjE27H,2,Chris,0,0,3,1,4,4,4,4,5,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.727272727
R_01j4fe2oeWjE27H,2,Jamie,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,4
R_01j4fe2oeWjE27H,2,Jessie,0,3,5,3,6,4,4,4,6,5,5,5,5,6,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,4.909090909
R_01j4fe2oeWjE27H,2,Jordan,0,0,4,3,4,4,4,4,5,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,4
R_01j4fe2oeWjE27H,2,Pat,2,0,4,1,3,4,4,4,5,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.727272727
R_01j4fe2oeWjE27H,2,Sam,2,0,4,1,4,4,4,4,6,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.909090909
R_01j4fe2oeWjE27H,2,Taylor,0,0,2,1,4,6,2,4,4,4,4,4,4,4,4,45,4,2.75,4,1,1,2.375,4,5,1.875,1.8,3.363636364
R_0Dioy7qQQmiKSCp,2,Adrian,3,0,7,7,6,2,6,2,7,6,7,6,7,7,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,6.181818182
R_0Dioy7qQQmiKSCp,2,Alex,3,0,1,1,4,6,2,1,7,2,4,1,2,3,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,2.545454545
R_0Dioy7qQQmiKSCp,2,Blair,0,3,2,3,3,5,3,2,6,4,3,5,4,5,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,3.636363636
R_0Dioy7qQQmiKSCp,2,C.J.,0,4,3,2,2,3,5,1,5,1,1,5,4,5,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,3.090909091
R_0Dioy7qQQmiKSCp,2,Cameron,0,2,5,6,6,2,6,3,6,6,7,7,6,7,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,5.909090909
R_0Dioy7qQQmiKSCp,2,Chris,0,0,6,2,2,5,3,2,5,4,3,5,2,3,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,3.363636364
R_0Dioy7qQQmiKSCp,2,Jamie,0,0,4,2,4,5,3,3,5,4,4,5,3,3,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,3.636363636
R_0Dioy7qQQmiKSCp,2,Jessie,0,3,7,6,6,2,6,5,6,6,7,7,6,7,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,6.272727273
R_0Dioy7qQQmiKSCp,2,Jordan,0,0,6,5,5,2,6,5,7,6,7,7,6,6,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,6
R_0Dioy7qQQmiKSCp,2,Pat,2,0,5,3,6,2,6,5,5,6,6,6,6,6,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,5.454545455
R_0Dioy7qQQmiKSCp,2,Sam,2,0,5,3,4,3,5,5,5,5,6,6,7,7,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,5.272727273
R_0Dioy7qQQmiKSCp,2,Taylor,0,0,6,7,7,1,7,4,5,7,7,4,6,7,2,27,7,5,3,,2,1.5,3.777777778,3.666666667,2.125,3.7,6.090909091
R_0rGfGwXc3Geps8t,1,Adrian,0,2,2,2,3,3,5,3,5,4,3,5,4,3,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.545454545
R_0rGfGwXc3Geps8t,1,Alex,0,3,2,2,3,5,3,2,4,2,2,3,3,4,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,2.727272727
R_0rGfGwXc3Geps8t,1,Blair,0,0,4,2,4,3,5,3,5,4,2,5,4,5,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.909090909
R_0rGfGwXc3Geps8t,1,C.J.,0,0,3,2,3,3,5,3,5,3,1,5,3,4,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.363636364
R_0rGfGwXc3Geps8t,1,Cameron,0,0,5,5,6,3,5,3,5,6,6,5,4,5,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,5
R_0rGfGwXc3Geps8t,1,Chris,2,0,3,2,3,4,4,2,6,5,4,5,5,2,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.727272727
R_0rGfGwXc3Geps8t,1,Jamie,2,0,3,2,3,3,5,3,5,4,4,5,4,4,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.818181818
R_0rGfGwXc3Geps8t,1,Jessie,0,0,6,5,6,3,5,3,5,6,6,5,5,5,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,5.181818182
R_0rGfGwXc3Geps8t,1,Jordan,3,0,1,2,2,5,3,3,5,3,2,5,3,1,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,2.727272727
R_0rGfGwXc3Geps8t,1,Pat,0,2,2,2,2,5,3,2,5,4,3,5,4,2,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.090909091
R_0rGfGwXc3Geps8t,1,Sam,1,4,3,2,5,5,3,3,5,5,4,5,4,3,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.818181818
R_0rGfGwXc3Geps8t,1,Taylor,4,0,3,3,4,3,5,3,3,5,5,5,4,2,5,33,7,2.25,7,,,2.375,3,4.777777778,1.875,3.6,3.818181818
R_0Ter8PFgxCWYoTz,2,Adrian,3,0,6,5,7,1,7,4,7,7,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.454545455
R_0Ter8PFgxCWYoTz,2,Alex,3,0,4,2,3,6,2,2,6,6,4,6,4,3,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,3.818181818
R_0Ter8PFgxCWYoTz,2,Blair,0,3,7,7,7,1,7,4,7,7,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.727272727
R_0Ter8PFgxCWYoTz,2,C.J.,0,4,5,6,3,1,7,1,6,6,3,6,7,6,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,5.090909091
R_0Ter8PFgxCWYoTz,2,Cameron,0,2,7,7,7,1,7,4,7,7,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.727272727
R_0Ter8PFgxCWYoTz,2,Chris,0,0,3,4,5,1,7,3,7,7,6,5,7,5,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,5.363636364
R_0Ter8PFgxCWYoTz,2,Jamie,0,0,7,6,7,1,7,6,7,7,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.818181818
R_0Ter8PFgxCWYoTz,2,Jessie,0,3,6,7,7,1,7,5,7,5,7,6,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.454545455
R_0Ter8PFgxCWYoTz,2,Jordan,0,0,6,5,7,1,7,4,7,5,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.272727273
R_0Ter8PFgxCWYoTz,2,Pat,2,0,6,6,6,2,6,4,7,7,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.363636364
R_0Ter8PFgxCWYoTz,2,Sam,2,0,5,2,7,1,7,1,7,7,6,7,4,5,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,5.272727273
R_0Ter8PFgxCWYoTz,2,Taylor,0,0,7,7,7,1,7,6,7,7,7,7,7,7,4,25,2,3.5,6,2,1,2.75,3.666666667,5,2.25,4.6,6.909090909
R_0vUkFEqxqldXS7P,2,Adrian,3,0,4,3,5,4,4,4,5,5,5,5,5,6,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.636363636
R_0vUkFEqxqldXS7P,2,Alex,3,0,3,2,2,6,2,2,4,3,2,3,4,2,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,2.636363636
R_0vUkFEqxqldXS7P,2,Blair,0,3,4,4,3,4,4,4,5,3,2,5,4,5,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,3.909090909
R_0vUkFEqxqldXS7P,2,C.J.,0,4,5,4,4,5,3,5,6,5,4,5,4,3,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.363636364
R_0vUkFEqxqldXS7P,2,Cameron,0,2,4,4,5,3,5,4,5,5,5,5,5,6,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.818181818
R_0vUkFEqxqldXS7P,2,Chris,0,0,2,2,3,6,2,2,4,3,2,3,4,2,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,2.636363636
R_0vUkFEqxqldXS7P,2,Jamie,0,0,5,5,5,4,4,4,5,5,5,5,5,5,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.818181818
R_0vUkFEqxqldXS7P,2,Jessie,0,3,3,3,5,3,5,5,4,4,2,4,4,6,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.090909091
R_0vUkFEqxqldXS7P,2,Jordan,0,0,5,5,6,3,5,5,6,6,6,6,6,6,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,5.636363636
R_0vUkFEqxqldXS7P,2,Pat,2,0,5,4,4,3,5,3,6,5,6,6,5,4,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.818181818
R_0vUkFEqxqldXS7P,2,Sam,2,0,3,4,3,4,4,3,3,3,2,3,4,2,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,3.090909091
R_0vUkFEqxqldXS7P,2,Taylor,0,0,3,2,5,2,6,6,3,4,6,3,5,6,4,42,6,5,6,3,1,3.25,4.333333333,4,1.5,4.4,4.454545455
R_1Bs2Oci9QTfkiwt,1,Adrian,0,2,6,6,6,2,6,5,7,7,7,6,7,6,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,6.272727273
R_1Bs2Oci9QTfkiwt,1,Alex,0,3,4,4,5,3,5,4,5,4,4,5,4,3,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,4.272727273
R_1Bs2Oci9QTfkiwt,1,Blair,0,0,3,2,2,7,1,2,5,3,2,4,3,3,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,2.727272727
R_1Bs2Oci9QTfkiwt,1,C.J.,0,0,5,4,5,4,4,3,6,6,4,5,6,6,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,4.909090909
R_1Bs2Oci9QTfkiwt,1,Cameron,0,0,4,4,5,2,6,5,4,5,4,4,4,6,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,4.636363636
R_1Bs2Oci9QTfkiwt,1,Chris,2,0,4,2,3,5,3,1,5,5,4,5,5,2,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,3.545454545
R_1Bs2Oci9QTfkiwt,1,Jamie,2,0,5,4,4,4,4,3,5,6,6,6,5,4,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,4.727272727
R_1Bs2Oci9QTfkiwt,1,Jessie,0,0,6,3,5,2,6,4,6,6,4,6,5,6,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,5.181818182
R_1Bs2Oci9QTfkiwt,1,Jordan,3,0,3,2,2,7,1,2,5,4,3,3,4,1,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,2.727272727
R_1Bs2Oci9QTfkiwt,1,Pat,0,2,5,5,4,4,4,4,6,6,5,5,5,3,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,4.727272727
R_1Bs2Oci9QTfkiwt,1,Sam,1,4,3,1,3,6,2,2,4,3,3,4,3,2,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,2.727272727
R_1Bs2Oci9QTfkiwt,1,Taylor,4,0,6,5,5,2,6,4,7,6,6,5,6,3,4,42,5,6.25,7,4,1,4.25,3.444444444,4.666666667,1.125,3.7,5.363636364
R_1HV2VDTiS7LvnSd,3,Adrian,0,0,3,3,6,3,5,3,5,6,3,5,6,6,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,4.636363636
R_1HV2VDTiS7LvnSd,3,Alex,0,0,2,2,1,6,2,2,5,2,1,3,2,1,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,2.090909091
R_1HV2VDTiS7LvnSd,3,Blair,2,0,2,2,1,5,3,3,5,1,1,2,2,3,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,2.272727273
R_1HV2VDTiS7LvnSd,3,C.J.,2,0,1,1,1,6,2,2,3,1,1,2,3,2,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,1.727272727
R_1HV2VDTiS7LvnSd,3,Cameron,3,0,6,6,7,3,5,3,5,6,6,6,7,6,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,5.727272727
R_1HV2VDTiS7LvnSd,3,Chris,0,3,2,2,3,6,2,2,3,3,2,3,2,1,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,2.272727273
R_1HV2VDTiS7LvnSd,3,Jamie,0,3,5,3,3,5,3,3,6,4,3,5,5,3,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,3.909090909
R_1HV2VDTiS7LvnSd,3,Jessie,2,0,5,5,6,3,5,3,5,6,5,5,5,6,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,5.090909091
R_1HV2VDTiS7LvnSd,3,Jordan,0,3,2,2,1,5,3,3,3,2,2,1,4,5,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,2.545454545
R_1HV2VDTiS7LvnSd,3,Pat,0,0,3,3,5,5,3,3,3,3,3,4,4,6,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,3.636363636
R_1HV2VDTiS7LvnSd,3,Sam,0,0,3,3,5,3,5,3,5,6,5,5,3,3,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,4.181818182
R_1HV2VDTiS7LvnSd,3,Taylor,0,4,3,3,5,3,5,3,5,6,3,5,5,5,1,37,5,3.75,6,3,1,3.375,3.333333333,4.333333333,2.875,4.2,4.363636364
R_1HxaF5oUIgBW2r3,1,Adrian,0,2,5,1,5,1,7,4,5,5,5,5,5,7,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,4.909090909
R_1HxaF5oUIgBW2r3,1,Alex,0,3,1,1,1,4,4,1,1,1,1,1,1,1,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,1.272727273
R_1HxaF5oUIgBW2r3,1,Blair,0,0,1,1,1,4,4,1,1,1,1,1,1,1,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,1.272727273
R_1HxaF5oUIgBW2r3,1,C.J.,0,0,1,1,1,7,1,1,1,1,1,1,1,1,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,1
R_1HxaF5oUIgBW2r3,1,Cameron,0,0,7,7,7,1,7,7,7,7,7,7,7,7,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,7
R_1HxaF5oUIgBW2r3,1,Chris,2,0,5,5,5,1,7,1,3,4,1,1,1,1,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,3.090909091
R_1HxaF5oUIgBW2r3,1,Jamie,2,0,1,1,1,1,7,1,1,1,1,1,1,1,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,1.545454545
R_1HxaF5oUIgBW2r3,1,Jessie,0,0,1,1,7,1,7,4,1,1,1,1,1,6,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,2.818181818
R_1HxaF5oUIgBW2r3,1,Jordan,3,0,7,7,7,1,7,7,7,7,7,7,7,7,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,7
R_1HxaF5oUIgBW2r3,1,Pat,0,2,1,1,7,1,7,4,5,5,1,1,5,5,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,3.818181818
R_1HxaF5oUIgBW2r3,1,Sam,1,4,4,1,1,7,1,1,7,7,4,5,1,1,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,3
R_1HxaF5oUIgBW2r3,1,Taylor,4,0,5,5,5,1,7,7,5,5,1,4,5,5,4,44,6,4.5,7,4,1,3.5,4.333333333,5,1.5,4.9,4.909090909
R_1St7Y7wsrSaUMXH,3,Adrian,0,0,6,4,5,3,5,5,5,5,6,5,5,6,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,5.181818182
R_1St7Y7wsrSaUMXH,3,Alex,0,0,5,4,4,3,5,3,5,4,4,5,4,5,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.363636364
R_1St7Y7wsrSaUMXH,3,Blair,2,0,4,4,3,4,4,3,5,4,4,5,4,4,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4
R_1St7Y7wsrSaUMXH,3,C.J.,2,0,4,4,4,3,5,3,5,4,4,5,4,2,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4
R_1St7Y7wsrSaUMXH,3,Cameron,3,0,5,4,4,3,5,3,5,5,4,5,4,3,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.272727273
R_1St7Y7wsrSaUMXH,3,Chris,0,3,4,4,5,3,5,4,5,4,4,5,5,5,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.545454545
R_1St7Y7wsrSaUMXH,3,Jamie,0,3,4,4,4,3,5,3,5,5,5,5,5,4,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.454545455
R_1St7Y7wsrSaUMXH,3,Jessie,2,0,4,4,3,3,5,3,4,4,4,5,4,5,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.090909091
R_1St7Y7wsrSaUMXH,3,Jordan,0,3,5,5,5,3,5,4,5,5,5,5,5,5,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.909090909
R_1St7Y7wsrSaUMXH,3,Pat,0,0,5,4,5,3,5,3,6,5,5,6,4,6,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.909090909
R_1St7Y7wsrSaUMXH,3,Sam,0,0,5,4,4,4,4,5,6,6,5,5,5,5,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,4.909090909
R_1St7Y7wsrSaUMXH,3,Taylor,0,4,5,4,5,3,5,5,6,6,5,5,5,6,4,28,4,5.75,6,2,1,3.125,4.555555556,3.444444444,3.375,3.9,5.181818182
R_1U0x70IgnQBME5L,1,Adrian,0,2,5,4,5,2,6,1,5,5,5,5,5,5,4,33,6,6.25,7,,,4,4,4,2,3.8,4.636363636
R_1U0x70IgnQBME5L,1,Alex,0,3,1,1,1,5,3,1,1,1,1,1,1,1,4,33,6,6.25,7,,,4,4,4,2,3.8,1.181818182
R_1U0x70IgnQBME5L,1,Blair,0,0,2,2,2,5,3,2,2,2,2,2,2,2,4,33,6,6.25,7,,,4,4,4,2,3.8,2.090909091
R_1U0x70IgnQBME5L,1,C.J.,0,0,1,1,1,5,3,1,1,1,1,1,1,1,4,33,6,6.25,7,,,4,4,4,2,3.8,1.181818182
R_1U0x70IgnQBME5L,1,Cameron,0,0,1,1,1,7,1,1,5,1,1,1,1,1,4,33,6,6.25,7,,,4,4,4,2,3.8,1.363636364
R_1U0x70IgnQBME5L,1,Chris,2,0,1,1,1,7,1,1,1,1,1,1,1,1,4,33,6,6.25,7,,,4,4,4,2,3.8,1
R_1U0x70IgnQBME5L,1,Jamie,2,0,2,2,2,7,1,2,2,2,2,2,2,2,4,33,6,6.25,7,,,4,4,4,2,3.8,1.909090909
R_1U0x70IgnQBME5L,1,Jessie,0,0,5,5,5,2,6,2,5,5,5,5,5,5,4,33,6,6.25,7,,,4,4,4,2,3.8,4.818181818
R_1U0x70IgnQBME5L,1,Jordan,3,0,2,2,2,5,3,2,2,2,2,2,2,2,4,33,6,6.25,7,,,4,4,4,2,3.8,2.090909091
R_1U0x70IgnQBME5L,1,Pat,0,2,2,1,2,6,2,1,2,2,2,2,2,2,4,33,6,6.25,7,,,4,4,4,2,3.8,1.818181818
R_1U0x70IgnQBME5L,1,Sam,1,4,2,2,2,6,2,2,2,2,2,2,2,2,4,33,6,6.25,7,,,4,4,4,2,3.8,2
R_1U0x70IgnQBME5L,1,Taylor,4,0,1,1,5,6,2,2,5,5,5,5,5,2,4,33,6,6.25,7,,,4,4,4,2,3.8,3.454545455
R_1XrCGkBPOjpKPzf,2,Adrian,3,0,6,5,6,4,4,4,6,6,6,6,6,6,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,5.545454545
R_1XrCGkBPOjpKPzf,2,Alex,3,0,4,4,4,5,3,3,5,3,3,3,4,5,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,3.727272727
R_1XrCGkBPOjpKPzf,2,Blair,0,3,4,4,5,5,3,3,5,5,5,5,4,5,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,4.363636364
R_1XrCGkBPOjpKPzf,2,C.J.,0,4,4,3,2,5,3,3,6,2,3,6,4,5,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,3.727272727
R_1XrCGkBPOjpKPzf,2,Cameron,0,2,6,6,6,3,5,5,5,6,6,6,6,6,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,5.727272727
R_1XrCGkBPOjpKPzf,2,Chris,0,0,4,4,4,5,3,3,5,4,4,5,4,3,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,3.909090909
R_1XrCGkBPOjpKPzf,2,Jamie,0,0,6,5,5,4,4,4,5,5,5,6,4,3,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,4.727272727
R_1XrCGkBPOjpKPzf,2,Jessie,0,3,6,5,6,3,5,3,5,6,5,6,5,5,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,5.181818182
R_1XrCGkBPOjpKPzf,2,Jordan,0,0,6,5,6,4,4,5,6,6,6,6,6,6,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,5.636363636
R_1XrCGkBPOjpKPzf,2,Pat,2,0,5,3,5,6,2,3,6,6,6,6,5,5,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,4.727272727
R_1XrCGkBPOjpKPzf,2,Sam,2,0,5,5,6,5,3,3,5,5,5,5,4,4,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,4.545454545
R_1XrCGkBPOjpKPzf,2,Taylor,0,0,5,5,6,3,5,5,5,6,6,5,6,6,2,23,6,5,5,4,1,2.375,4.222222222,2.333333333,4.125,4.4,5.454545455
R_1zXs4JijncqNELX,1,Adrian,0,2,5,6,6,2,6,2,6,6,4,5,5,5,3,22,3,2.25,6,2,1,3.125,3.555555556,2.777777778,2.625,3.1,5.090909091
R_1zXs4JijncqNELX,1,Alex,0,3,2,1,4,5,3,2,5,2,3,3,3,1,3,22,3,2.25,6,2,1,3.125,3.555555556,2.777777778,2.625,3.1,2.636363636
R_1zXs4JijncqNELX,1,Blair,0,0,5,3,3,4,4,5,5,4,5,2,4,3,3,22,3,2.25,6,2,1,3.125,3.555555556,2.777777778,2.625,3.1,3.909090909
